1001,Liam Johnson,88,88,77,50
1002,Noah Smith,68,71,85,89
1003,Oliver Brown,81,59,56,75
1004,James Prince,93,94,87,50
1005,Elijah Hunt,70,95,80,51
1006,Mateo Wells,51,52,88,53
1007,Theodore Kim,69,61,65,97
1008,Henry Lee,84,63,58,53
1009,Lucas Carter,52,50,50,67
1010,William Wong,95,73,98,76
1011,Benjamin Adams,52,55,68,84
1012,Levi Hill,75,59,66,98
1013,Sebastian Scott,70,78,84,82
1014,Jack Drew,94,57,54,69
1015,Ezra Queen,60,94,99,87
1016,Michael Walker,56,50,97,58
1017,Daniel Jones,53,86,89,52
1018,Leo Green,51,59,57,68
1019,Owen Stark,65,68,74,93
1020,Samuel Blake,50,82,57,82
1021,Hudson Stone,56,98,74,87
1022,Alexander Marvel,84,78,67,59
1023,Asher Cage,99,53,65,57
1024,Luca Strahovski,83,57,65,53
1025,Ethan Taylor,82,76,54,71
1026,John Santiago,78,56,83,79
1027,David Wyatt,92,95,69,93
1028,Jackson Espinosa,85,95,78,97
1029,Joseph Nolan,60,76,73,77
1030,Mason Cullen,62,79,67,97
1031,Luke Hardy,75,73,78,89
1032,Matthew House,79,77,79,80
1033,Julian Parr,52,97,96,60
1034,Dylan Underwood,91,88,59,69
1035,Elias Jensen,67,86,82,67
1036,Jacob Gordon,69,78,72,69
1037,Maverick Alderson,94,84,96,52
1038,Gabriel Rivers,94,88,90,70
1039,Logan Fabray,52,58,64,57
1040,Aiden Weasley,69,89,91,78
1041,Thomas Carter,100,56,92,77
1042,Isaac White,81,51,53,91
1043,Miles Parker,76,64,87,74
1044,Grayson Colton,85,56,95,58
1045,Santiago Jaxon,81,84,82,71
1046,Anthony Everett,68,90,93,78
1047,Wyatt Jose,64,90,56,62
1048,Carter Easton,50,56,53,58
1049,Jayden Landon,72,74,70,59
1050,Ezekiel Amir,83,90,55,91
1051,Caleb Gael,97,50,74,71
1052,Cooper Austin,100,60,94,50
1053,Josiah Adriel,52,86,78,72
1054,Charles Hunter,52,85,77,94
1055,Christopher River,75,70,94,76
1056,Isaiah Greyson,84,69,53,50
1057,Nolan Emmett,90,79,72,97
1058,Cameron Harrison,75,53,96,92
1059,Nathan Vincent,52,79,80,92
1060,Joshua Milo,81,63,69,68
1061,Kai Jasper,83,72,54,52
1062,Waylon Giovanni,87,61,67,53
1063,Angel Jonah,89,68,69,74
1064,Lincoln Zion,91,82,54,88
1065,Andrew Sawyer,85,86,51,94
1066,Roman Arthur,60,85,90,90
1067,Adrian Ryder,67,53,69,94
1068,Aaron Archer,51,93,52,53
1069,Wesley Lorenzo,84,54,52,88
1070,Ian Declan,67,98,64,87
1071,Thiago Emiliano,89,74,64,66
1072,Axel Luis,64,83,92,84
1073,Brooks Diego,96,55,75,55
1074,Bennett George,74,59,53,60
1075,Weston Evan,100,94,59,76
1076,Rowan Jaxson,93,95,54,58
1077,Christian Kingston,96,74,52,50
1078,Theo Nathaniel,75,82,87,83
1079,Beau Matteo,51,92,87,85
1080,Eli Legend,54,89,89,79
1081,Silas Malachi,82,92,76,76
1082,Jonathan Jason,69,51,51,54
1083,Ryan Leon,97,92,96,51
1084,Leonardo Dawson,96,50,70,55
1085,Walker Bryson,78,77,99,60
1086,Jaxon Amari,64,90,70,55
1087,Micah Calvin,94,99,72,53
1088,Everett Ivan,57,72,72,53
1089,Robert Chase,67,54,54,96
1090,Enzo Cole,97,73,90,74
1091,Parker Ashton,66,63,66,99
1092,Jeremiah Ace,63,87,90,73
1093,Jose Arlo,50,81,52,56
1094,Colton Dean,53,61,83,71
1095,Luka Brayden,98,95,98,93
1096,Easton Jude,78,99,74,61
1097,Landon Hayden,74,59,53,60
1098,Jordan Max,71,97,88,82
1099,Amir Matias,83,63,73,78
1100,Gael Rhett,96,57,63,94
1101,Austin Jayce,75,85,78,71
1102,Adam Elliott,54,74,68,82
1103,Jameson Alan,60,96,57,76
1104,August Braxton,93,64,59,94
1105,Xavier Kaiden,89,73,67,84
1106,Myles Zachary,89,62,79,66
1107,Dominic Jesus,68,54,50,88
1108,Damian Emmanuel,87,64,55,60
1109,Nicholas Adonis,96,78,99,61
1110,Jace Charlie,92,82,72,68
1111,Carson Judah,71,100,61,55
1112,Atlas Elliot,81,56,90,76
1113,Adriel Antonio,72,66,91,59
1114,Kayden Emilio,85,94,56,89
1115,Hunter Camden,95,69,76,78
1116,River Stetson,72,72,78,72
1117,Greyson Maxwell,94,92,82,63
1118,Emmett Ryker,92,50,99,84
1119,Harrison Justin,78,88,85,60
1120,Vincent Kevin,85,63,75,91
1121,Milo Messiah,79,64,55,85
1122,Jasper Finn,75,77,66,64
1123,Giovanni Bentley,67,56,85,81
1124,Jonah Ayden,79,95,72,58
1125,Zion Zayden,85,82,67,62
1126,Connor Felix,97,60,99,68
1127,Sawyer Nicolas,80,75,73,59
1128,Arthur Miguel,60,70,80,85
1129,Ryder Maddox,94,81,88,71
1130,Lorenzo Beckett,88,59,60,97
1131,Declan Tate,92,61,74,89
1132,Emiliano Caden,83,65,91,75
1133,Luis Beckham,90,97,52,74
1134,Diego Andres,64,75,99,63
1135,George Elias,50,88,67,87
1136,Evan Oliver,70,91,53,92
1137,Jaxson Levi,75,62,80,96
1138,Carlos Mason,93,77,74,89
1139,Graham Noah,83,88,72,58
1140,Juan Liam,84,59,81,63
1141,Kingston Levi,78,77,91,97
1142,Nathaniel Sebastian,91,65,63,90
